Trait, profile1 , profile2 , profile3 , profile4 
Big_5_Agreeableness, 0.55 , 0.48 , 0.28 , 0.22 
Big_5_Agreeableness_Altruism, 0.36 , 0.35 , 0.38 , 0.30 
Big_5_Agreeableness_Cooperation, 0.33 , 0.39 , 0.53 , 0.58 
Big_5_Agreeableness_Modesty, 0.40 , 0.37 , 0.33 , 0.22 
Big_5_Agreeableness_Sympathy, 0.42 , 0.44 , 0.42 , 0.51 
Big_5_Agreeableness_Trust, 0.31 , 0.37 , 0.46 , 0.43 
Big_5_Agreeableness_Uncompromising, 0.33 , 0.35 , 0.31 , 0.26 
Big_5_Conscientiousness, 0.31 , 0.37 , 0.64 , 0.69 
Big_5_Conscientiousness_Achievement_striving, 0.32 , 0.40 , 0.71 , 0.73 
Big_5_Conscientiousness_Cautiousness, 0.32 , 0.39 , 0.66 , 0.72 
Big_5_Conscientiousness_Dutifulness, 0.27 , 0.31 , 0.41 , 0.38 
Big_5_Conscientiousness_Orderliness, 0.45 , 0.43 , 0.24 , 0.21 
Big_5_Conscientiousness_Self-discipline, 0.35 , 0.41 , 0.58 , 0.65 
Big_5_Conscientiousness_Self-efficacy, 0.32 , 0.37 , 0.51 , 0.62 
Big_5_Emotional_range, 0.65 , 0.59 , 0.37 , 0.29 
Big_5_Emotional_range_Fiery, 0.63 , 0.56 , 0.37 , 0.25 
Big_5_Emotional_range_Immoderation, 0.67 , 0.61 , 0.33 , 0.29 
Big_5_Emotional_range_Melancholy, 0.67 , 0.62 , 0.40 , 0.31 
Big_5_Emotional_range_Prone_to_worry, 0.66 , 0.59 , 0.39 , 0.25 
Big_5_Emotional_range_Self-consciousness, 0.50 , 0.49 , 0.49 , 0.34 
Big_5_Emotional_range_Susceptible_to_stress, 0.59 , 0.54 , 0.34 , 0.26 
Big_5_Extraversion, 0.68 , 0.57 , 0.32 , 0.25 
Big_5_Extraversion_Activity_level, 0.27 , 0.32 , 0.48 , 0.42 
Big_5_Extraversion_Assertiveness, 0.49 , 0.45 , 0.24 , 0.25 
Big_5_Extraversion_Cheerfulness, 0.66 , 0.55 , 0.35 , 0.22 
Big_5_Extraversion_Excitement-seeking, 0.65 , 0.55 , 0.31 , 0.23 
Big_5_Extraversion_Gregariousness, 0.59 , 0.50 , 0.31 , 0.22 
Big_5_Extraversion_Outgoing, 0.55 , 0.46 , 0.25 , 0.22 
Big_5_Openness, 0.43 , 0.50 , 0.75 , 0.80 
Big_5_Openness_Adventurousness, 0.36 , 0.45 , 0.70 , 0.78 
Big_5_Openness_Artistic_interests, 0.61 , 0.57 , 0.65 , 0.46 
Big_5_Openness_Authority-challenging, 0.45 , 0.53 , 0.73 , 0.80 
Big_5_Openness_Emotionality, 0.69 , 0.59 , 0.39 , 0.23 
Big_5_Openness_Imagination, 0.52 , 0.56 , 0.79 , 0.81 
Big_5_Openness_Intellect, 0.37 , 0.46 , 0.66 , 0.79 
Needs_Challenge, 0.61 , 0.59 , 0.57 , 0.44 
Needs_Closeness, 0.73 , 0.64 , 0.36 , 0.30 
Needs_Curiosity, 0.72 , 0.66 , 0.57 , 0.37 
Needs_Excitement, 0.71 , 0.62 , 0.39 , 0.26 
Needs_Harmony, 0.66 , 0.58 , 0.27 , 0.24 
Needs_Ideal, 0.73 , 0.65 , 0.55 , 0.43 
Needs_Liberty, 0.73 , 0.63 , 0.36 , 0.25 
Needs_Love, 0.66 , 0.58 , 0.28 , 0.22 
Needs_Practicality, 0.64 , 0.58 , 0.33 , 0.23 
Needs_Self-expression, 0.73 , 0.66 , 0.62 , 0.44 
Needs_Stability, 0.73 , 0.65 , 0.46 , 0.32 
Needs_Structure, 0.73 , 0.68 , 0.61 , 0.43 
Values_Conservation, 0.44 , 0.51 , 0.60 , 0.61 
Values_Hedonism, 0.48 , 0.49 , 0.32 , 0.30 
Values_Openness_to_change, 0.53 , 0.50 , 0.33 , 0.41 
Values_Self-enhancement, 0.50 , 0.51 , 0.67 , 0.61 
Values_Self-transcendence, 0.49 , 0.41 , 0.22 , 0.26 
